Показатель,Категория,Группа В,Группа Г,p-уровень
Диагноз,Без патологии,"5.1% (32/628)","6.1% (40/655)","<0.01"
Диагноз,Рак,"1.6% (10/628)","5.3% (35/655)","<0.01"
Диагноз,Фиброаденома,"8% (50/628)","12.1% (79/655)","<0.01"
Диагноз,Фиброзно-кистозная болезнь,"34.9% (219/628)","28.4% (186/655)","<0.01"
Диагноз,Киста,"2.7% (17/628)","3.2% (21/655)","<0.01"
Диагноз,Листовидная опухоль,"1.1% (7/628)","2.3% (15/655)","<0.01"
Диагноз,Диффузный фиброаденоматоз,"44.4% (279/628)","39.4% (258/655)","<0.01"
Диагноз,Локализованный фиброаденоматоз,"2.2% (14/628)","2.8% (18/655)","<0.01"
Диагноз,Мастит,"0% (0/628)","0.5% (3/655)","<0.01"
Жалобы,Нет,"88.4% (555/628)","74.1% (485/655)","<0.01"
Жалобы,Выделения из соска,"1% (6/628)","0% (0/655)","<0.01"
Жалобы,Боль,"5% (31/628)","3.4% (22/655)","<0.01"
Жалобы,Уплотнение,"5.7% (36/628)","22.6% (148/655)","<0.01"
Репродуктивный статус,Репродуктивный возраст,"21.5% (135/628)","23.2% (152/655)","<0.01"
Репродуктивный статус,Менопауза до 5 лет,"21% (138/628)","15.1% (99/655)","<0.01"
Репродуктивный статус,Менопауза более 5 лет,"23.9% (150/628)","25% (170/655)","<0.01"
Репродуктивный статус,Пременопауза,"32% (201/628)","35.7% (234/655)","<0.01"
Репродуктивный статус,Оперативная менопауза,"0.6% (4/628)","0% (0/655)","<0.01"
Операции на МЖ,Не было операций,"98.3% (617/628)","100% (655/655)","<0.01*"
Операции на МЖ,Были операции,"1.8% (11/628)","0% (0/655)","<0.01*"
Гормональные препараты,Да,"22.6% (142/628)","18.8% (123/655)","<0.01*"
Гормональные препараты,Нет,"77.4% (486/628)","81.2% (532/655)","<0.01*"
Наследственная предрасположенность,Нет,"60.4% (379/628)","66.7% (437/655)","<0.01*"
Наследственная предрасположенность,Есть,"39.7% (249/628)","33.3% (218/655)","<0.01*"
