Показатель,Категория,Группа А,Группа Б,p-уровень
Диагноз,Без патологии,"32.147% (253/787)","27.486% (199/724)",0.77
Диагноз,Рак,"0.762% (6/787)","0.829% (6/724)",0.77
Диагноз,Фиброаденома,"15.629% (123/787)","24.724% (179/724)",0.77
Диагноз,Фиброзно-кистозная болезнь,"28.717% (226/787)","22.238% (161/724)",0.77
Диагноз,Киста,"4.447% (35/787)","8.564% (62/724)",0.77
Диагноз,Листовидная опухоль,"0.381% (3/787)","0.829% (6/724)",0.77
Диагноз,Внутрипротоковая папиллома,"0% (0/787)","0.829% (6/724)",0.77
Диагноз,Гиперплазия,"0% (0/787)","0.829% (6/724)",0.77
Диагноз,Диффузный фиброаденоматоз,"17.027% (134/787)","13.674% (99/724)",0.77
Диагноз,Локализованный фиброаденоматоз,"0.889% (7/787)","0% (0/724)",0.77
Жалобы,Нет,"86.785% (683/787)","82.873% (600/724)",0.21
Жалобы,Выделения из соска,"0.381% (3/787)","0.967% (7/724)",0.21
Жалобы,Боль,"4.828% (38/787)","5.249% (38/724)",0.21
Жалобы,Уплотнение,"8.005% (63/787)","10.912% (79/724)",0.21
Репродуктивный статус,Репродуктивный возраст,"96.696% (761/787)","97.238% (704/724)",0.55
Репродуктивный статус,Пременопауза,"3.304% (26/787)","2.762% (20/724)",0.55
Операции на МЖ,Не было,"98.5% (775/787)","98.3% (712/724)",0.41
Операции на МЖ,Были,"1.5% (12/787)","1.7% (12/724)",0.41
Гормональные препараты,Да,"19.7% (155/787)","21.4% (155/724)",0.17
Гормональные препараты,Нет,"80.3% (632/787)","78.6% (569/724)",0.17
Наследственная предрасположенность,Нет,"68.9% (543/787)","68.9% (499/724)",0.73
Наследственная предрасположенность,Есть,"31.1% (244/787)","31.1% (225/724)",0.73
