Метод,Т,P,КК,ТМ,Ч,Сп,ППЦ,ОПЦ,ОТ
2D УЗИ,"0.84 [95% ДИ: 0.81, 0.87]",0,0.47,0,0.44,0.96,0.78,0.85,0.7
3D УЗИ,"0.84 [95% ДИ: 0.81, 0.87]",0,0.45,0,0.42,0.96,0.77,0.85,0.69
