Показатель,Значение,2D УЗИ,3D УЗИ
Края образования,волнистые,8.37% (19/227),0% (0/258)
Края образования,звездчатые,5.286% (12/227),0% (0/258)
Края образования,неровные,5.286% (12/227),14.341% (37/258)
Края образования,полициклические,2.643% (6/227),2.326% (6/258)
Края образования,ровные,78.414% (178/227),80.62% (208/258)
Края образования,нарушение архитектоники,0% (0/227),2.713% (7/258)
Размер образования,"0,5-1,0 см",34.802% (79/227),37.597% (97/258)
Размер образования,"1,1-1,5 см",45.815% (104/227),40.698% (105/258)
Размер образования,"1,5-2,0 см",8.37% (19/227),12.016% (31/258)
Размер образования,"2,1-2,5 см",2.643% (6/227),0% (0/258)
Размер образования,"2,5-3,0 см",8.37% (19/227),9.69% (25/258)
Эхогенность образования,гипоэхогенное,94.714% (215/227),97.674% (252/258)
Эхогенность образования,изоэхогенное,2.643% (6/227),0% (0/258)
Эхогенность образования,смешанная,2.643% (6/227),2.326% (6/258)
Структура образования,наличие внутрикистозных пристеночных разрастаний,0% (0/227),2.713% (7/258)
Структура образования,неоднородная,24.229% (55/227),25.969% (67/258)
Структура образования,однородная,75.771% (172/227),71.318% (184/258)
Количество узлов,один,72.687% (165/227),75.969% (196/258)
Количество узлов,два,11.013% (25/227),9.69% (25/258)
Количество узлов,три,5.286% (12/227),4.651% (12/258)
Количество узлов,множественные,11.013% (25/227),9.69% (25/258)
Кальцинаты,кальцинаты,4.64% (12/227),4.65% (12/258)
Кальцинаты,нет,95.36% (215/227),95.35% (246/258)
Поставленный диагноз,без патологии,0% (0/227),2.326% (6/258)
Поставленный диагноз,локализованный фиброаденоматоз,0.881% (2/227),0% (0/258)
Поставленный диагноз,мультицентричный рак,7.93% (18/227),5.039% (13/258)
Поставленный диагноз,мультфококальный рак,1.322% (3/227),0% (0/258)
Поставленный диагноз,образование Ca,10.132% (23/227),6.589% (17/258)
Поставленный диагноз,сложная киста,0% (0/227),0.775% (2/258)
Поставленный диагноз,фиброаденома единичная,59.031% (134/227),56.202% (145/258)
Поставленный диагноз,фиброаденомы множественные,20.705% (47/227),18.605% (48/258)
Поставленный диагноз,фиброзно-кистозная мастопатия,0% (0/227),2.713% (7/258)
Поставленный диагноз,мультифокальный рак,0% (0/227),5.426% (14/258)
Поставленный диагноз,склерозирующий аденоз,0% (0/227),2.326% (6/258)
Категория,BIRADS 1,3.084% (7/227),6.589% (17/258)
Категория,BIRADS 2,32.599% (74/227),36.822% (95/258)
Категория,BIRADS 3,45.815% (104/227),42.636% (110/258)
Категория,BIRADS 4b,5.286% (12/227),2.326% (6/258)
Категория,BIRADS 4а,10.573% (24/227),4.651% (12/258)
Категория,BIRADS 5,2.643% (6/227),6.977% (18/258)
