Показатель,Значение,Группа C,Группа D
Кожа,Диффузное утолщение,0% (0/628),0.9% (6/655)
Кожа,Локальное утолщение,0% (0/628),1.1% (7/655)
Кожа,Не изменена,100% (625/628),98% (642/655)
Ареола,Деформирована,0% (0/628),0.6% (4/655)
Ареола,Не изменена,100% (628/628),98.931% (648/655)
Ареола,Подтянута,0% (0/628),0.5% (3/655)
Форма узла,Лучистый,5.8% (3/52),20.6% (30/146)
Форма узла,Неровный,7.7% (4/52),21.9% (32/146)
Форма узла,Ровный,53.9% (28/52),28.8% (42/146)
Форма узла,Участок нарушения архитектоники,5.8% (3/52),0% (0/146)
Форма узла,Участок уплотнения,7.7% (4/52),2.1% (3/146)
Форма узла,Фокус уплотнения,19.2% (10/52),15.1% (22/146)
Края узлов,Нечеткий,38.5% (20/52),57.5% (84/146)
Края узлов,Полициклический,13.5% (7/52),6.9% (10/146)
Края узлов,Размытый,0% (0/52),5.5% (8/146)
Края узлов,Четкий,48.1% (25/52),30.1% (44/146)
Размер узлов,"0,5-1,0",11.6% (6/52),23% (35/146)
Размер узлов,"1,1-1,5см",23.1% (12/52),26.7% (39/146)
Размер узлов,"1,6-2,0см",38.5% (20/52),23.3% (34/146)
Размер узлов,"2,1-2,5см",0% (0/52),8.2% (12/146)
Размер узлов,"2,6-3,0см",19.2% (10/52),8.9% (13/146)
Размер узлов,"более 3 см",7.7% (4/52),8.9% (13/146)
Количество визуализируемых образований,Одно,86.5% (45/52),80.1% (117/146)
Количество визуализируемых образований,Два,0% (0/52),2.7% (4/146)
Количество визуализируемых образований,Четыре,0% (0/52),2.1% (3/146)
Количество визуализируемых образований,Участок асимметрии,13.5% (7/52),15.1% (22/146)
Количество узлов,Один,100% (52/52),95.9% (140/146)
Количество узлов,Два,0% (0/52),2.1% (3/146)
Количество узлов,Множественные,0% (0/52),2.1% (3/146)
Сосок,Втянут,0.5% (3/628),2.6% (17/655)
Сосок,Не изменен,98.8% (621/628),97.4% (638/655)
Сосок,Отечен,0.6% (4/628),0% (0/655)
ММГ-фон,Диффузная ФКМ,39.7% (249/628),40.3% (264/655)
ММГ-фон,Железистая ткань,58.6% (368/628),58.5% (383/655)
ММГ-фон,Инволюция,0.5% (3/628),0% (0/655)
ММГ-фон,Нормальная ткань МЖ,0.6% (4/628),1.2% (8/655)
ММГ-фон,Узловая мастопатия,0.6% (4/628),0% (0/655)
Узлы были найдены,Да,8.3% (52/628),22.3% (146/655)
Узлы были найдены,Нет,91.7% (576/628),77.7% (509/655)
Кальцификаты,Диффузные,0.6% (4/628),1.2% (8/655)
Кальцификаты,Единичные мелкие,4.6% (29/628),11.8% (77/655)
Кальцификаты,Крупные,0% (0/628),1.2% (8/655)
Кальцификаты,Микрокальцинаты,0% (0/628),0.5% (3/655)
Кальцификаты,Множественные точечные,0% (0/628),0.5% (3/655)
Кальцификаты,Нет,89.7% (563/628),77.2% (506/655)
Кальцификаты,Плеоморфные,0.6% (4/628),1.1% (7/655)
Кальцификаты,По типу пудры,0% (0/628),0.5% (3/655)
Кальцификаты,Полиморфные,1.6% (10/628),3.8% (25/655)
Кальцификаты,Разнокалиберные,0.6% (4/628),0.6% (4/655)
Кальцификаты,Сгруппированные,2.2% (14/628),1.7% (11/655)
