Метод,Площадь под кривой
2D-УЗИ в группе C,"0.958 [0.922 - 0.994]"
2D-УЗИ в группе D,"0.945 [0.921 - 0.97]"
2D-УЗИ в выборке 40 лет и старше,"0.946 [0.924 - 0.968]"
3D-УЗИ в группе D,"0.958 [0.937 - 0.98]"
