Метод,Т,P,КК,ТМ,ППЦ,ОПЦ,Ч,Сп,ОТ
ММГ в группе C,0.96,0.05,0.57,0.14,0.7,0.98,0.52,0.99,0.75
ММГ в выборке 40 лет и старше,0.93,0,0.63,0,0.89,0.93,0.53,0.99,0.76
ММГ в группе D,0.89,0,0.63,0,0.95,0.89,0.54,0.99,0.76
2D-УЗИ в группе C,0.96,0.08,0.69,0,0.58,0.99,0.9,0.97,0.93
2D-УЗИ в группе D,0.95,0,0.86,0.6,0.88,0.97,0.9,0.96,0.93
2D-УЗИ в выборке 40 лет и старше,0.96,0,0.83,0.01,0.8,0.98,0.9,0.97,0.93
3D-УЗИ в группе D,0.97,0,0.9,0.01,0.97,0.97,0.9,0.99,0.94
