Показатель,Значение,Группа C,Группа D
Данные МРТ,Интраммарные лимфоузлы,59.5% (25/42),60% (33/55)
Данные МРТ,Сегментарно-протоковая зона контрастирования,40.5% (17/42),40% (22/55)
Количество узлов на МРТ,Один,80% (34/42),72.7% (40/55)
Количество узлов на МРТ,Два,14.2% (6/42),12.7% (7/55)
Количество узлов на МРТ,Три,0% (0/42),1.8% (1/55)
Количество узлов на МРТ,Множественные,0% (0/42),5.5% (3/55)
Количество узлов на МРТ,Не определены,4.8% (2/42),7.3% (4/55)
