Показатель,Значение,Группа C,Группа D
Подмышечные лимфоузлы,Метастатически изменены,0.5% (3/628),0.9% (6/655)
Подмышечные лимфоузлы,Не визуализируются,85.5% (537/628),85.5% (560/655)
Подмышечные лимфоузлы,Не увеличены,13.5% (85/628),13.6% (89/655)
Подмышечные лимфоузлы,Увеличены жировая инволюция,0.5% (3/628),0% (0/655)
Категория BI-RADS,BIRADS 0,0% (0/628),1.2% (8/655)
Категория BI-RADS,BIRADS 1,1.3% (8/628),3.4% (22/655)
Категория BI-RADS,BIRADS 2,94.4% (595/628),76.5% (501/655)
Категория BI-RADS,BIRADS 3,1.1% (7/628),6.3% (41/655)
Категория BI-RADS,BIRADS 4b,0.5% (3/628),3.2% (21/655)
Категория BI-RADS,BIRADS 4c,1.1% (7/628),2.3% (15/655)
Категория BI-RADS,BIRADS 4а,0.955% (6/628),5% (33/655)
Категория BI-RADS,BIRADS 5,0.637% (4/628),2.1% (14/655)
ММГ заключение,Susp ca,3.7% (23/628),12.2% (80/655)
ММГ заключение,Без патологии,0.6% (4/628),0.6% (4/655)
ММГ заключение,Дифузный фиброаденоматоз,89% (565/628),75.1% (492/655)
ММГ заключение,Интраммарные лимфоузлы,1.1% (7/628),0.5% (3/655)
ММГ заключение,Киста,1.1% (7/628),1.1% (7/655)
ММГ заключение,Кластер кальцинатов,0.6% (4/628),1.1% (7/655)
ММГ заключение,Локализованный фиброаденоматоз,0.6% (4/628),4.4% (29/655)
ММГ заключение,Образование,0% (0/628),0.5% (3/655)
ММГ заключение,Фиброаденома,2.2% (14/628),4.6% (30/655)
ММГ диагноз злокачественное образование,Да,3.6% (23/628),12.2% (80/655)
ММГ диагноз злокачественное образование,Нет,96.4% (605/628),87.8% (575/655)
