Показатель,Значение,Группа A,Группа B
Данные МРТ,интраммарные лимфоузлы,31.633% (31/98),20.909% (23/110)
Данные МРТ,сегментарно-протоковая зона контрастирования,68.367% (67/98),79.091% (87/110)
Количество узлов на МРТ,один,76.531% (75/98),69.091% (76/110)
Количество узлов на МРТ,два,6.122% (6/98),5.455% (6/110)
Количество узлов на МРТ,три,6.122% (6/98),10.909% (12/110)
Количество узлов на МРТ,множественные,0% (0/98),10.909% (12/110)
Количество узлов на МРТ,не определяется,11.224% (11/98),3.636% (4/110)
