Фактор,Коэффициент значимости
Наследственная предрасположенность,2.92
Первичный диагноз: диффузный фиброаденоматоз,1.82
Репродуктивный статус: пременопауза,1.6
Жалоба на уплотнение,0.86
Возраст пациента,0.05
